,questions,id,questions_preproc
325,Qui peut recueillir des informations sur le nombre de points détenus par le titulaire d un permis de conduire?,79,pouvoir recueillir information nombre point détenu titulaire permis conduire
2721,Qu'est-ce qui détermine les catégories de véhicules?,674,déterminer catégorie véhiculer
2648,Quelle est la vitesse maximale maximale des cyclomoteurs?,657,quel vitesse maximale maximale cyclomoteur
2479,Quelle est la réglementation concernant les conditions de travail dans les transports routiers?,611,quel réglementation concernant condition travail transport routier
2822,"Quel est le seul type de véhicules dont le poids total autorisé en charge est supérieur à 3,5 tonnes?",700,quel seul type véhiculer dont poids total autorisé charge supérieur tonner
3636,Qu'est-ce qui donne lieu à la réduction de trois points du permis de conduire?,902,donne lieu réduction trois point permis conduire
1657,Qu'est-ce que le permis de conduire catégorie B?,403,permis conduire catégorie
3891,Quelle est la vitesse maximale autorisée sur les autoroutes?,973,quel vitesse maximale autorisé autoroute
351,Qu'est-ce qui peut entraîner la suspension du permis de conduire?,85,pouvoir entraîner suspension permis conduire
529,Quelle est la durée maximale de la confiscation obligatoire du véhicule dont le prévenu s est servi pour commettre une infraction?,128,quel durée maximale confiscation obligatoire véhicule dont prévenir servir commettre infraction
4168,Quelle est l'amende prévue pour les contraventions de la première classe?,1053,quel amende prévoir contravention premier classe
215,Quelle est l'autorité compétente pour prononcer des amendes administratives?,53,quel autorité compétent prononcer amende administratif
2301,Quel type de véhicule est autorisé à posséder des feux orientables?,562,quel type véhicule autorisé posséder feu orientables
2308,Qu'est-ce que le signal de détresse?,563,signal détresse
4385,"Quel est le poids maximal autorisé d'un train articulé, d un ensemble composé d un véhicule à moteur et d'une remorque?",1111,quel poids maximal autorisé train articulé ensemble composé véhicule moteur remorque
715,Que doit faire le conducteur lorsqu'il anticipe que ses conditions d utilisation ne seront vraisemblablement plus remplies?,174,doit faire conducteur lorsqu anticiper condition utilisation vraisemblablement plus remplier
685,Qu'est-ce qui donne lieu de plein droit à la confiscation du véhicule?,166,donne lieu plein droit confiscation véhicule
741,Quelle est la durée maximale de la confiscation du permis de conduire?,180,quel durée maximale confiscation permis conduire
